path,watermark,multiple_faces,low_resolution,comment,hat,sunglasses,glasses,occlusion,garbage
./datasets/fr/Family_100/Hulk_hogan_daughter/Hulk_hogan1.jpg,False,False,False,,True,False,False,False,False
./datasets/fr/Family_100/Hulk_hogan_daughter/Hulk_hogan14.jpg,False,False,False,,True,False,False,False,False
./datasets/fr/Family_100/Hulk_hogan_daughter/Hulk_hogan4.jpg,False,False,False,,True,True,False,True,False
./datasets/fr/Family_100/Hulk_hogan_daughter/Hulk_hogan5.jpg,False,False,False,,True,False,False,False,False
./datasets/fr/Family_100/Hulk_hogan_daughter/Hulk_hogan7.jpg,False,False,False,,True,True,False,True,False
./datasets/fr/Family_100/Hulk_hogan_daughter/Hulk_hogan8.jpg,False,False,False,,True,False,False,False,False
./datasets/fr/Family_100/brooke_hogan_daughter/brooke_hogan1.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/brooke_hogan_daughter/brooke_hogan10.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/brooke_hogan_daughter/brooke_hogan11.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/brooke_hogan_daughter/brooke_hogan12.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/brooke_hogan_daughter/brooke_hogan13.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/brooke_hogan_daughter/brooke_hogan4_0.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/brooke_hogan_daughter/brooke_hogan5.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/brooke_hogan_daughter/brooke_hogan6.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/brooke_hogan_daughter/brooke_hogan7.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/brooke_hogan_daughter/brooke_hogan8_0.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/brooke_hogan_daughter/brooke_hogan9_0.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/linda_bollea_daughter/linda_bollea1.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/linda_bollea_daughter/linda_bollea11.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/linda_bollea_daughter/linda_bollea2.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/linda_bollea_daughter/linda_bollea3_1.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/linda_bollea_daughter/linda_bollea4.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_100/linda_bollea_daughter/linda_bollea5.jpg,False,False,True,,False,False,False,False,False
./datasets/fr/Family_10/Melanie_griffith_mother/Melanie_griffith1.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/Melanie_griffith_mother/Melanie_griffith13.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/Melanie_griffith_mother/Melanie_griffith15.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/Melanie_griffith_mother/Melanie_griffith2.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/Melanie_griffith_mother/Melanie_griffith4.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/Melanie_griffith_mother/Melanie_griffith5.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/Melanie_griffith_mother/Melanie_griffith6.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/Melanie_griffith_mother/Melanie_griffith7.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/Melanie_griffith_mother/Melanie_griffith8.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/Melanie_griffith_mother/Melanie_griffith9.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/dakota_johnson_daughter/dakota_johnson1.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/dakota_johnson_daughter/dakota_johnson10.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/dakota_johnson_daughter/dakota_johnson11.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/dakota_johnson_daughter/dakota_johnson12.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/dakota_johnson_daughter/dakota_johnson13.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/dakota_johnson_daughter/dakota_johnson15.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/dakota_johnson_daughter/dakota_johnson2.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/dakota_johnson_daughter/dakota_johnson3.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/dakota_johnson_daughter/dakota_johnson4.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/dakota_johnson_daughter/dakota_johnson5.jpg,False,False,False,,False,False,False,False,False
./datasets/fr/Family_10/dakota_johnson_daughter/dakota_johnson6.jpg,False,False,False,,False,False,False,False,False
