path,watermark,multiple_faces,low_resolution,comment,hat,sunglasses,glasses,occlusion,garbage
./datasets/ibb/431-1.png,False,False,False,,True,False,False,False,False
./datasets/ibb/431-2.png,False,False,False,,False,False,False,False,False
./datasets/ibb/431-3.png,False,False,False,,False,False,False,False,False
./datasets/ibb/431-4.png,False,False,False,,False,False,False,False,False
./datasets/ibb/431-5.png,False,False,False,,False,False,False,False,False
./datasets/ibb/431-6.png,False,False,True,,True,False,False,False,False
./datasets/ibb/432-1.png,False,False,False,,True,False,False,False,False
./datasets/ibb/432-10.png,False,False,False,,True,False,False,False,False
./datasets/ibb/432-11.png,False,False,False,,True,False,False,False,False
./datasets/ibb/432-12.png,False,False,True,,True,False,False,False,False
./datasets/ibb/432-2.png,False,False,False,,False,False,False,False,False
./datasets/ibb/432-3.png,False,False,True,,False,False,False,False,False
./datasets/ibb/432-4.png,False,False,True,,True,False,False,False,False
./datasets/ibb/432-5.png,False,False,True,,False,False,False,False,False
./datasets/ibb/432-6.png,False,False,False,,True,False,False,False,False
./datasets/ibb/432-7.png,False,False,False,,True,False,False,False,False
./datasets/ibb/432-8.png,False,False,False,,True,False,False,False,False
./datasets/ibb/432-9.png,False,True,False,,False,False,False,False,False
./datasets/ibb/433-1.png,False,False,False,,True,False,False,False,False
./datasets/ibb/433-2.png,False,False,False,,True,False,False,False,False
./datasets/ibb/433-3.png,False,False,True,,True,False,False,False,False
./datasets/ibb/433-4.png,False,False,False,,False,False,False,False,False
./datasets/ibb/433-5.png,False,False,False,,False,False,False,False,False
./datasets/ibb/433-6.png,False,True,False,,True,False,False,False,False
./datasets/ibb/433-7.png,False,False,False,,True,False,False,False,False
./datasets/ibb/433-8.png,False,False,False,,True,False,False,False,False
./datasets/ibb/434-1.png,False,False,False,,False,False,False,False,False
./datasets/ibb/434-10.png,False,False,False,,True,False,False,False,False
./datasets/ibb/434-11.png,False,False,True,,False,False,True,False,False
./datasets/ibb/434-2.png,False,False,False,,False,False,False,False,False
./datasets/ibb/434-3.png,False,False,False,,True,False,False,False,False
./datasets/ibb/434-4.png,False,False,False,,False,False,True,False,False
./datasets/ibb/434-5.png,False,False,False,,False,False,False,False,False
./datasets/ibb/434-6.png,False,False,False,,False,False,False,False,False
./datasets/ibb/434-7.png,False,False,False,,False,False,False,False,False
./datasets/ibb/434-8.png,False,False,False,,False,False,False,False,False
./datasets/ibb/434-9.png,False,False,False,,False,False,False,False,False
./datasets/ibb/437-1.png,False,False,True,,False,False,False,False,False
./datasets/ibb/437-2.png,False,False,True,,False,False,False,False,False
./datasets/ibb/437-3.png,False,False,False,,False,False,False,False,False
./datasets/ibb/437-4.png,False,False,False,,False,False,False,False,False
./datasets/ibb/437-5.png,False,False,True,,False,False,False,False,False
./datasets/ibb/438-1.png,False,False,False,,False,False,True,False,False
./datasets/ibb/438-2.png,False,False,False,,False,False,True,False,False
./datasets/ibb/438-3.png,False,False,False,,False,False,True,False,False
./datasets/ibb/438-4.png,False,False,False,,False,False,True,False,False
./datasets/ibb/438-5.png,False,False,False,,False,False,True,False,False
./datasets/ibb/438-6.png,False,False,False,,False,False,True,False,False
./datasets/ibb/438-7.png,False,False,False,,False,False,True,False,False
./datasets/ibb/438-8.png,False,False,True,,False,False,True,False,False
